nombre,grupo
"GONZÁLEZ VEGA, MIGUEL ÁNGEL",GPS
"GONZÁLVEZ GARCÍA, EUGENIO JESÚS",GPP
"GRIÑÁN MARTÍNEZ, JOSÉ ANTONIO",GPS
"GUERRERO ROSADO, PETRONILA",GPS
"GUILLOT MIRAVET, JORDI",GPEPC
"GUTIÉRREZ ALBERCA, ALBERTO",GPP
"GUTIÉRREZ LIMONES, ANTONIO",GPS
"HARO BRITO, MARÍA ROSA DE",GPP
"HENRÍQUEZ DE LUNA LOSADA, ÍÑIGO",GPP
"HERAS MUELA, JUAN ANTONIO DE LAS",GPP
"HERNÁNDEZ LÓPEZ, PEDRO MANUEL",GPP
"HERRERO ESTÉBANEZ, PORFIRIO",GPP
"IBARRONDO BAJO, JORGE",GPP
"IBARZ IBARZ, MARÍA BELÉN",GPP
"IGLESIAS FERNÁNDEZ, JESÚS ENRIQUE",GPMX
"IGLESIAS RICOU, MARCELINO",GPS
"IMBRODA ORTIZ, JUAN JOSÉ",GPP
"IPARRAGIRRE BEMPOSTA, MARÍA EUGENIA",GPV
"JIMÉNEZ GARCÍA, ISABEL",GPP
"JIMÉNEZ MORÁN, JUAN MANUEL",GPP
"JUNCAL RODRÍGUEZ, JUAN MANUEL",GPP
"JURADO FERNÁNDEZ DE CÓRDOBA, MARÍA BEATRIZ",GPP
"LANZAROTE SASTRE, JULIÁN",GPP
"LARRIBA LEIRA, MARÍA ELVIRA",GPP
"LERMA BLASCO, JOAN",GPS
"LEYTE COELLO, MARÍA DEL CARMEN",GPP
"LLINARES CUESTA, ENCARNACIÓN",GPS
"LÓPEZ GARCÍA, FELIPE",GPS
"LÓPEZ RODRÍGUEZ, DÁMASO",GPP
"LÓPEZ RODRÍGUEZ, OCTAVIO ADOLFO",GPP
"LÓPEZ VALDIVIELSO, SANTIAGO",GPP
"LÓPEZ VEIGA, ENRIQUE CÉSAR",GPP
"LORITE GARCÍA, MARIANA",GPP
"LOSADA DE AZPIAZU, FRANCISCO JAVIER",GPS
"LUCAS GIMÉNEZ, JUAN JOSÉ",GPP
"LUIS HERAS, MARÍA DEL CARMEN",GPP
"LUZARDO FUENTES, ÓSCAR MANUEL",GPP
"LUZARDO ROMANO, JOSEFA",GPP
"MALDONADO I GILI, JOSEP",GPCIU
"MALUQUER FERRER, PERE",GPCIU
"MANCHADO LOZANO, JOSÉ ANTONIO",GPS
"MARÍN TORRECILLAS, BENITO",GPP
"MARISCAL CIFUENTES, JOSÉ MANUEL",GPMX
"MARRA DOMÍNGUEZ, MARÍA DE LOS ÁNGELES",GPS
"MARTÍ JUFRESA, CARLOS",GPEPC
"MARTÍN GÓMEZ, MARÍA JOSÉ",GPP
"MARTÍN RODRÍGUEZ, JESÚS",GPS
"MARTÍNEZ MARTÍNEZ, GERARDO",GPP
"MARTÍNEZ MUÑOZ, RUT",GPV
"MARTÍNEZ OBLANCA, ISIDRO MANUEL",GPMX
"MARTÍNEZ-ALDAMA SÁENZ, JUAN FRANCISCO",GPS
"MATEU ISTÚRIZ, JAIME MIGUEL",GPP
"MEDINA TOMÉ, GREGORIO RAMÓN",GPS
"MENDIOLA OLARTE, COLOMA FRANCISCA",GPP
"MENDIZABAL AZURMENDI, AMALUR",GPMX
"MENÉNDEZ GONZÁLEZ-PALENZUELA, CARMEN",GPS
"MONTES JORT, FÉLIX",GPS
"MONTILLA AGUILERA, JOSÉ",GPEPC
"MORANO MASA, JUAN",GPMX
"MORENO BONILLA, JUAN MANUEL",GPP
"MORENO RUIZ, MARÍA DEL MAR",GPS
"MORO BORRERO, FRANCISCO",GPP
"MOYA MORENO, MARINA",GPP
"MUÑOZ MARTÍN, JOSÉ",GPP
"MUÑOZ-ALONSO LEDO, ALEJANDRO",GPP
"NAVARRO ANDREU, ENRIQUE",GPS
"NAVARRO PÉREZ, PATRICIA",GPP
"NAVARRO VISCASILLAS, MARÍA",GPP
"NEVADO DEL CAMPO, MARÍA ELENA",GPP
"NICOLÁS MARTÍNEZ, MARÍA JOSEFA",GPP
"ONGIL CORES, MARÍA GÁDOR",GPP
"ORTEGA RODRÍGUEZ, MARÍA DE LOS ÁNGELES",GPP
"ORTIZ MOLINA, RAMÓN",GPS
"ORTIZ PÉREZ, JUAN JOSÉ",GPP
"OSÉS RAMÍREZ, DANIEL",GPP
"PAGOLA SÁENZ, FRANCISCO JAVIER",GPP
"PALACIOS ZUASTI, JOSÉ IGNACIO",GPP
"PAN VÁZQUEZ, MARÍA DOLORES",GPP
"PARRO DEL PRADO, ESTEBAN",GPP
"PEÑARRUBIA AGIUS, JOSÉ JOAQUÍN",GPP
"PERAL GUERRA, LUIS",GPP
"PÉREZ DE JUAN ROMERO, MIGUEL ÁNGEL",GPP
"PÉREZ NAVAS, JUAN CARLOS",GPS
"PÉREZ ORTIZ, SEBASTIÁN",GPP
"PÉREZ RUIZ, PEDRO JOSÉ",GPP
"PERIS JARQUE, ARACELI",GPP
"PINTADO BARBANOJ, ÁNGEL",GPP
"PIÑEIRO GARCÍA-LAGO, GONZALO",GPP
"PLANA FARRAN, MANEL",GPCIU
"PONS VILA, JUANA FRANCISCA",GPP
"QUINTANA VIAR, JOSÉ",GPS
"QUINTERO CASTAÑEDA, NARVAY",GPMX
"RABANERA RIVACOBA, RAMÓN",GPP
"RAMÍREZ RODRÍGUEZ, JOAQUÍN LUIS",GPP
"REGALADO DE LOS COBOS, MARÍA DE LA ENCINA",GPP
"REPRESA FERNÁNDEZ, JUAN RAMÓN",GPP
"RIERADEVALL TARRÉS, MARIA",GPCIU
"RIOLOBOS REGADERA, MARÍA CARMEN",GPP
"RIPOLL JUAN, CARLOTA",GPP
"RIVERA MALLO, JOSÉ LUIS",GPP
"RIVERO SEGALÀS, MARÍA TERESA",GPCIU
"RODRÍGUEZ COMENDADOR PÉREZ, LUIS ROGELIO",GPP
"RODRÍGUEZ ESQUERDO, ANTONIO JULIÁN",GPS
"RODRÍGUEZ GONZÁLEZ, MIGUEL ÁNGEL",GPP
"RODRÍGUEZ MARÍN, JUAN ANTONIO",GPP
"RODRÍGUEZ MARTÍNEZ, MARÍA AGUSTINA",GPP
"ROMERO BAÑÓN, VIRGINIA",GPP
"ROMERO SANTOLARIA, ANTONIO IGNACIO",GPP
"RUBIO MIELGO, JOSÉ ANTONIO",GPP
"RUIZ REYES, SEBASTIÁN",GPP
"RUIZ RUIZ, MARÍA JESÚS",GPP
"RUIZ SANTOS, PEDRO ANTONIO",GPS
"SABATÉ BORRÀS, JOAN",GPEPC
"SÁINZ GARCÍA, MARÍA JESÚS",GPP
"SALA TORRES, JOSÉ",GPP
"SALANUEVA MURGUIALDAY, AMELIA",GPMX
"SALMÓN SAIZ, ENCARNACIÓN",GPP
"SAMPEDRO REDONDO, LAURA",GPP
"SÁNCHEZ DUQUE, DIEGO",GPP
"SÁNCHEZ-CAMACHO PÉREZ, ALICIA",GPP
"SANÍN NARANJO, LUZ ELENA",GPP
"SANTAMARÍA HERRANZ, JAVIER VICENTE",GPP
"SANTOS FERNÁNDEZ, ROSARIO ISABEL",GPP
"SANZ JERÓNIMO, PALOMA INÉS",GPP
"SANZ MURILLO, BASILIA",GPS
"SANZ PÉREZ, ANTOLÍN",GPP
"SANZ RUIZ, JOSÉ LUIS",GPP
"SAÑUDO AJA, DIMAS ANTONIO",GPS
"SASTRE ÁLVARO, JOSÉ LUIS",GPP
"SAURA LAPORTA, JOAN",GPEPC
"SEDANO PÉREZ, JESÚS ANDRÉS",GPP
"SEN VÉLEZ, NICANOR JORGE",GPS
"SENDRA VELLVÈ, JORDI MIQUEL",GPCIU
"SEQUERA GARCÍA, MARÍA JESÚS",GPEPC
"SERRANO AGUILAR, ANTONIO",GPP
"SERRANO BOIGAS, PILAR AUXILIADORA",GPS
"SOCAS LEÓN, LUZ MARINA",GPP
"SOTO RICO, MARÍA ROSARIO",GPP
"SUÁREZ VALERÓN, MARÍA DEL CARMEN",GPP
"TOLEDO DÍAZ, JOSÉ MARÍA",GPS
"TORME PARDO, ANA MARÍA",GPP
"TORRES COLOMER, JOSÉ LUIS RAMÓN",GPP
"TORRES SÁNCHEZ, CARMEN BELÉN",GPP
"TOVAR MENA, JUAN ANDRÉS",GPS
"UNAMUNZAGA OSORO, ALBERTO",GPMX
"UTRERA MORA, FRANCISCO",GPP
"VALLINES DÍAZ, JOSÉ LUIS",GPP
"VARELA SÁNCHEZ, RICARDO JACINTO",GPS
"VÁZQUEZ GARCÍA, JUAN MARÍA",GPS
"VÁZQUEZ MUÑOZ, MARÍA DOLORES",GPP
"VICENTE GONZÁLEZ, YOLANDA",GPS
"VINDEL LÓPEZ, MARÍA ROSA",GPP
"YANGUAS FERNÁNDEZ, FRANCISCO JAVIER",GPMX
"ZEROLO AGUILAR, MIGUEL",GPMX
